ticket_id,created_at,resolved_at,updated_at,customer_id,channel,priority,category,assigned_team,status,first_response_minutes,csat_score,reopened_count,source_system,first_response_target_min,resolution_target_hours,resolution_hours,first_response_sla_met,resolution_sla_met,overall_sla_met,is_reopened,created_date,created_month,created_week
TKT00001,2025-01-14 20:50:00,,2025-01-15 08:50:00,CUST0285,Email,Low,Slow Performance,Technical,Pending,86,,0,Support Portal,120,48,,1,,,0,2025-01-14,2025-01,2025-01-13/2025-01-19
TKT00002,2025-01-23 12:47:00,,2025-01-25 01:47:00,CUST0201,API Monitoring,Medium,Invoice Issue,Billing,Open,102,,0,Integration Dashboard,60,24,,0,,,0,2025-01-23,2025-01,2025-01-20/2025-01-26
TKT00003,2025-01-17 17:10:00,2025-01-19 08:32:52,2025-01-19 08:32:52,CUST0152,API Monitoring,Low,Account Closure,Account,Resolved,116,5.0,0,CRM,120,48,39.38111111111111,1,1,1,0,2025-01-17,2025-01,2025-01-13/2025-01-19
TKT00004,2025-04-01 16:18:00,2025-04-02 19:26:39,2025-04-02 19:26:39,CUST0030,Chat,Medium,API Error,Integrations,Resolved,31,4.0,0,Support Portal,60,24,27.144166666666667,1,0,0,0,2025-04-01,2025-04,2025-03-31/2025-04-06
TKT00005,2025-02-28 19:03:00,2025-03-01 06:18:19,2025-03-01 06:18:19,CUST0102,Chat,Medium,OAuth Issue,Integrations,Resolved,71,3.0,0,Support Portal,60,24,11.255277777777778,0,1,0,0,2025-02-28,2025-02,2025-02-24/2025-03-02
TKT00006,2025-01-17 16:03:00,2025-01-18 04:03:44,2025-01-18 04:03:44,CUST0057,Email,High,Unknown,Technical,Resolved,6,3.0,1,Support Portal,30,8,12.012222222222222,1,0,0,1,2025-01-17,2025-01,2025-01-13/2025-01-19
TKT00007,2025-04-27 10:36:00,2025-04-29 04:18:10,2025-04-29 04:18:10,CUST0223,Email,Medium,Slow Performance,Technical,Resolved,42,4.0,0,CRM,60,24,41.702777777777776,1,0,0,0,2025-04-27,2025-04,2025-04-21/2025-04-27
TKT00008,2025-01-24 08:19:00,2025-01-24 16:01:19,2025-01-24 16:01:19,CUST0183,Chat,High,Application Bug,Technical,Resolved,13,5.0,0,Support Portal,30,8,7.705277777777778,1,1,1,0,2025-01-24,2025-01,2025-01-20/2025-01-26
TKT00009,2025-05-27 16:17:00,2025-05-29 06:09:10,2025-05-29 06:09:10,CUST0277,Email,Medium,API Error,Integrations,Resolved,53,3.0,0,Support Portal,60,24,37.86944444444445,1,0,0,0,2025-05-27,2025-05,2025-05-26/2025-06-01
TKT00010,2025-02-01 16:09:00,,2025-02-04 01:09:00,CUST0267,Chat,Medium,Unknown,Billing,Open,20,,0,Integration Dashboard,60,24,,1,,,0,2025-02-01,2025-02,2025-01-27/2025-02-02
