ticket_id,created_at,resolved_at,updated_at,customer_id,channel,priority,category,assigned_team,status,first_response_minutes,csat_score,reopened_count,source_system
TKT00001,2025-01-14 20:50:00,,2025-01-15 08:50:00,CUST0285,Email,Low,Slow Performance,Technical,Pending,86,,0,Support Portal
TKT00002,2025-01-23 12:47:00,,2025-01-25 01:47:00,CUST0201,API Monitoring,Medium,Invoice Issue,Billing,Open,102,,0,Integration Dashboard
TKT00003,2025-01-17 17:10:00,2025-01-19 08:32:52,2025-01-19 08:32:52,CUST0152,API Monitoring,Low,Account Closure,Account,Resolved,116,5.0,0,CRM
TKT00004,2025-04-01 16:18:00,2025-04-02 19:26:39,2025-04-02 19:26:39,CUST0030,Chat,Medium,API Error,Integrations,Resolved,31,4.0,0,Support Portal
TKT00005,2025-02-28 19:03:00,2025-03-01 06:18:19,2025-03-01 06:18:19,CUST0102,Chat,Medium,OAuth Issue,Integrations,Resolved,71,3.0,0,Support Portal
TKT00006,2025-01-17 16:03:00,2025-01-18 04:03:44,2025-01-18 04:03:44,CUST0057,Email,High,,Technical,Resolved,6,3.0,1,Support Portal
TKT00007,2025-04-27 10:36:00,2025-04-29 04:18:10,2025-04-29 04:18:10,CUST0223,Email,Medium,Slow Performance,Technical,resolved,42,4.0,0,CRM
TKT00008,2025-01-24 08:19:00,2025-01-24 16:01:19,2025-01-24 16:01:19,CUST0183,Chat,High,Application Bug,Technical,Resolved,13,5.0,0,Support Portal
TKT00009,2025-05-27 16:17:00,2025-05-29 06:09:10,2025-05-29 06:09:10,CUST0277,Email,Medium,API Error,Integrations,Resolved,53,3.0,0,Support Portal
TKT00010,2025-02-01 16:09:00,,2025-02-04 01:09:00,CUST0267,Chat,Medium,,Billing,Open,20,,0,Integration Dashboard
TKT00011,2025-03-24 16:56:00,2025-03-25 14:52:57,2025-03-25 14:52:57,CUST0235,Email,Low,Refund Request,Billing,Resolved,133,4.0,0,CRM
TKT00012,2025-05-22 17:28:00,2025-05-22 19:17:19,2025-05-22 19:17:19,CUST0220,API Monitoring,Critical,Plan Change,Account,Resolved,-20,4.0,0,Support Portal
TKT00013,2025-01-21 12:30:00,2025-01-24 13:52:36,2025-01-24 13:52:36,CUST0155,Email,Low,Access Request,Account,Resolved,187,3.0,0,CRM
TKT00014,2025-03-30 13:44:00,2025-03-30 22:31:44,2025-03-30 22:31:44,CUST0064,Chat,High,Payment Failed,Billing,Resolved,16,4.0,1,Integration Dashboard
TKT00015,2025-04-24 13:58:00,2025-04-25 03:47:06,2025-04-25 03:47:06,CUST0035,Email,Medium,Invoice Issue,Billing,Resolved,18,4.0,1,Integration Dashboard
TKT00016,2025-01-22 09:01:00,,2025-01-24 20:01:00,CUST0270,Chat, critical ,Invoice Issue,Billing,Open,8,,0,Integration Dashboard
TKT00017,2025-01-18 15:36:00,2025-01-19 06:15:26,2025-01-19 06:15:26,CUST0106,Web Form,Medium,Refund Request,Billing,Resolved,76,2.0,1,Support Portal
TKT00018,2025-02-18 21:11:00,2025-02-20 08:38:12,2025-02-20 08:38:12,CUST0216,Web Form,Low,Plan Change,Account,Resolved,187,2.0,0,Integration Dashboard
TKT00019,2025-04-20 12:04:00,2025-04-21 08:44:38,2025-04-21 08:44:38,CUST0150,API Monitoring,Low,Slow Performance,Technical,Resolved,133,2.0,0,CRM
TKT00020,2025-04-28 20:21:00,2025-04-29 21:56:52,2025-04-29 21:56:52,CUST0142,Web Form,Medium,Invoice Issue,Billing,Resolved,70,2.0,0,Support Portal
TKT00021,2025-06-08 16:53:00,2025-06-08 23:24:20,2025-06-08 23:24:20,CUST0092,Email,High,Access Request,Account,Resolved,14,3.0,0,CRM
TKT00022,2025-06-13 14:38:00,2025-06-16 16:24:50,2025-06-16 16:24:50,CUST0228,Email,Low,Slow Performance,Technical,Resolved,238,2.0,0,CRM
TKT00023,2025-06-25 20:50:00,2025-06-26 00:53:33,2025-06-26 00:53:33,CUST0020,Email,High,Application Bug,Technical,Resolved,28,4.0,0,Support Portal
TKT00024,2025-06-16 10:46:00,2025-06-16 15:53:12,2025-06-16 15:53:12,CUST0206,Email,High,Application Bug,Technical,Resolved,65,3.0,0,Support Portal
TKT00025,2025-04-21 21:54:00,2025-04-22 03:29:19,2025-04-22 03:29:19,CUST0020,Chat,High,Invoice Issue,Billing,resolved,15,5.0,0,Support Portal
TKT00026,2025-05-25 12:28:00,2025-05-26 00:49:12,2025-05-26 00:49:12,CUST0232,Email,High,Application Bug,Technical,Resolved,21,4.0,0,Support Portal
TKT00027,2025-01-21 19:24:00,2025-01-23 13:35:31,2025-01-23 13:35:31,CUST0120,Email,Low,Account Closure,Account,Resolved,152,3.0,0,Support Portal
TKT00028,2025-01-17 12:14:00,2025-01-18 23:14:35,2025-01-18 23:14:35,CUST0085,Chat,Low,Webhook Failure,Integrations,Resolved,83,4.0,0,Support Portal
TKT00029,2025-02-21 18:13:00,,2025-02-22 14:13:00,CUST0158,Email,Medium,OAuth Issue,Integrations,Open,124,,0,CRM
TKT00030,2025-02-12 21:54:00,2025-02-13 13:53:17,2025-02-13 13:53:17,CUST0240,Web Form,Medium,Application Bug,Technical,Resolved,32,4.0,0,CRM
TKT00031,2025-04-19 11:45:00,2025-04-20 14:44:04,2025-04-20 14:44:04,CUST0042,Web Form,Low,Webhook Failure,Integrations,Resolved,145,3.0,1,Support Portal
TKT00032,2025-01-13 07:14:00,2025-01-13 12:31:18,2025-01-13 12:31:18,CUST0124,Email,High,Account Closure,Account,Resolved,32,5.0,0,Integration Dashboard
TKT00033,2025-01-10 08:29:00,2025-01-10 11:55:34,2025-01-10 11:55:34,CUST0014,Email,High,OAuth Issue,Integrations,Resolved,24,5.0,0,Integration Dashboard
